arrival_time,front_of_queue_time,counter_arrival_time,counter_service_start_time,counter_service_end_time,food_delay_start_time,food_delay_end_time,cashier_arrival_time,cashier_service_start_time,cashier_service_end_time
12:47:46 PM,12:49:06 PM,,,,12:49:09 PM,12:53:48 PM,12:53:50 PM,12:54:07 PM,12:54:27 PM
12:48:11 PM,12:48:20 PM,,,,12:49:27 PM,12:49:27 PM,12:49:25 PM,12:49:29 PM,12:49:42 PM
12:48:43 PM,12:49:50 PM,,,,12:49:52 PM,12:49:53 PM,12:49:54 PM,12:49:55 PM,12:50:36 PM
12:48:45 PM,12:49:45 PM,,,,12:49:48 PM,12:49:53 PM,12:49:54 PM,12:49:56 PM,12:50:17 PM
12:50:55 PM,12:50:56 PM,,,,12:51:00 PM,12:51:05 PM,12:51:11 PM,12:51:13 PM,12:51:22 PM
12:51:22 PM,12:51:31 PM,,,,12:51:30 PM,12:51:35 PM,12:51:36 PM,12:51:42 PM,12:51:58 PM
12:51:31 PM,12:51:47 PM,,,,12:51:53 PM,12:54:10 PM,12:54:17 PM,12:54:29 PM,12:54:49 PM
12:52:04 PM,12:52:18 PM,12:52:57 PM,12:53:50 PM,12:53:50 PM,12:53:52 PM,12:54:32 PM,12:54:40 PM,12:54:59 PM,12:55:08 PM
12:52:35 PM,12:57:14 PM,,,,12:58:52 PM,12:58:54 PM,12:58:56 PM,12:58:57 PM,12:59:09 PM
12:53:09 PM,12:54:52 PM,,,,12:55:19 PM,12:56:50 PM,12:56:59 PM,12:57:33 PM,12:57:49 PM
12:53:42 PM,12:56:35 PM,,,,12:56:38 PM,1:02:17 PM,1:02:19 PM,1:02:35 PM,1:02:49 PM
12:53:51 PM,12:57:14 PM,,,,12:57:26 PM,12:57:47 PM,12:58:16 PM,12:58:26 PM,12:58:29 PM
12:54:15 PM,12:54:53 PM,,,,12:55:20 PM,12:57:01 PM,12:57:06 PM,12:57:12 PM,12:57:31 PM
12:55:35 PM,12:57:22 PM,,,,12:57:27 PM,1:00:12 PM,1:00:07 PM,1:00:13 PM,1:00:14 PM
12:55:36 PM,12:57:23 PM,,,,12:57:28 PM,12:58:45 PM,12:58:43 PM,12:58:47 PM,12:58:59 PM
12:56:10 PM,12:57:45 PM,,,,12:58:20 PM,1:02:31 PM,1:02:37 PM,1:02:50 PM,1:03:09 PM
12:56:13 PM,12:58:18 PM,,,,12:58:21 PM,1:02:32 PM,1:02:38 PM,1:03:08 PM,1:03:10 PM
12:56:59 PM,1:02:38 PM,,,,1:02:39 PM,1:02:40 PM,1:03:01 PM,1:03:03 PM,1:03:10 PM
12:57:56 PM,1:00:07 PM,,,,1:00:21 PM,1:02:49 PM,1:03:47 PM,1:04:26 PM,1:04:33 PM
12:57:57 PM,1:00:08 PM,,,,1:02:12 PM,1:03:35 PM,1:03:37 PM,1:03:38 PM,1:03:40 PM
12:58:08 PM,1:03:29 PM,,,,1:03:54 PM,1:03:56 PM,1:03:59 PM,1:04:01 PM,1:04:18 PM
12:59:20 PM,1:02:31 PM,,,,1:03:02 PM,1:03:05 PM,1:03:12 PM,1:03:18 PM,1:03:32 PM
12:59:43 PM,1:02:22 PM,,,,1:02:24 PM,1:02:27 PM,1:02:30 PM,1:02:33 PM,1:02:35 PM
12:59:57 PM,1:02:26 PM,,,,1:02:29 PM,1:03:14 PM,1:03:15 PM,1:03:29 PM,1:04:07 PM
1:00:47 PM,1:03:10 PM,,,,1:03:48 PM,1:03:51 PM,1:03:55 PM,1:04:06 PM,1:04:35 PM
1:03:18 PM,1:04:21 PM,,,,1:04:40 PM,1:04:44 PM,1:06:07 PM,1:06:15 PM,1:06:29 PM
1:05:54 PM,1:05:57 PM,,,,1:06:11 PM,1:06:16 PM,1:06:19 PM,1:06:23 PM,1:06:52 PM
1:10:29 PM,1:10:33 PM,,,,1:10:42 PM,1:10:43 PM,1:10:45 PM,1:10:47 PM,1:11:13 PM
1:11:37 PM,1:11:38 PM,,,,1:12:42 PM,1:12:44 PM,1:12:46 PM,1:12:46 PM,1:13:12 PM
1:13:07 PM,1:13:11 PM,,,,1:13:41 PM,1:13:46 PM,1:13:50 PM,1:13:51 PM,1:14:32 PM
1:17:25 PM,1:17:28 PM,,,,1:17:55 PM,1:18:08 PM,1:18:09 PM,1:18:37 PM,1:18:40 PM
1:17:26 PM,1:17:27 PM,,,,1:17:32 PM,1:17:38 PM,1:17:45 PM,1:17:50 PM,1:18:10 PM
1:18:39 PM,1:18:45 PM,,,,1:19:26 PM,1:19:30 PM,1:19:31 PM,1:19:31 PM,1:19:40 PM
1:18:48 PM,1:18:52 PM,,,,1:18:59 PM,1:19:39 PM,1:19:41 PM,1:19:43 PM,1:20:12 PM
1:19:15 PM,1:19:21 PM,,,,1:19:24 PM,1:19:49 PM,1:19:52 PM,1:19:56 PM,1:20:10 PM
1:19:19 PM,1:19:25 PM,,,,1:19:35 PM,1:19:49 PM,1:19:51 PM,1:20:13 PM,1:20:25 PM
1:19:43 PM,1:19:57 PM,,,,1:20:09 PM,1:20:11 PM,1:20:12 PM,1:20:17 PM,1:20:25 PM
